Name,Brand,Display,HDH,Camera sau,Camera trước,Chip,Ram,Rom,Sim,Battery,Charge,Gia,Danh gia,So Luong,Link,Tên cửa hàng
iPhone 13 Pro Max 128GB,iPhone,"6.7 inch, OLED, Super Retina XDR, 2778 x 1284 Pixels",iOS 15,12.0 MP + 12.0 MP + 12.0 MP ,12.0 MP ,Apple A15 Bionic,6 GB,128 GB,"1 - 1 eSIM, 1 Nano SIM ",4352 mAh,,30490000,4.0,16,https://fptshop.com.vn/dien-thoai/iphone-13-pro-max?dung-luong=128gb,Cửa hàng FPT
OPPO Reno7 Z 5G 8GB - 128GB,OPPO,"Chính: 6.43 inch, Chính: AMOLED, FHD+, 1080 x 2400 Pixels",Android 11 (ColorOS 12),64.0 MP + 2.0 MP + 2.0 MP ,16.0 MP ,Snapdragon 695 5G,8 GB,128 GB,2 - 2 Nano SIM ,4500 mAh,,9990000,5.0,1,https://fptshop.com.vn/dien-thoai/oppo-reno7-z,Cửa hàng FPT
