Name,Brand,Display,HDH,Camera sau,Camera trước,Chip,Ram,Rom,Sim,Battery,Charge,Gia,Danh gia,So Luong,Link,Tên cửa hàng
Điện thoại Samsung Galaxy S22 Ultra 5G 128GB,Samsung,"Dynamic AMOLED 2X,6.8"",Quad HD+ (2K+)",Android 12,"Chính 108 MP & Phụ 12 MP, 10 MP, 10 MP",40 MP,Snapdragon 8 Gen 1 8 nhân,8 GB,128 GB,2 Nano SIM hoặc 1 Nano SIM + 1 eSIM,5000 mAh,45 W,30.990.000₫ ,2.8,31,https://www.thegioididong.com/dtdd/samsung-galaxy-s22-ultra?src=osp,Thế giới di động
Điện thoại iPhone 11 64GB,iPhone,"IPS LCD,6.1"",Liquid Retina",iOS 15,2 camera 12 MP,12 MP,Apple A13 Bionic,4 GB,64 GB,1 Nano SIM & 1 eSIM,3110 mAh,18 W,14.990.000₫ ,4.0,833,https://www.thegioididong.com/dtdd/iphone-11?src=osp,Thế giới di động
Điện thoại OPPO Reno7 Z 5G,OPPO,"AMOLED,6.43"",Full HD+",Android 11,"Chính 64 MP & Phụ 2 MP, 2 MP",16 MP,Snapdragon 695 5G 8 nhân,8 GB,128 GB,2 Nano SIM (SIM 2 chung khe thẻ nhớ),4500 mAh,33 W,10.490.000₫ ,3.8,213,https://www.thegioididong.com/dtdd/oppo-reno7-z?src=osp,Thế giới di động
Điện thoại Realme C35 64GB,Realme,"IPS LCD,6.6"",Full HD+",Android 11,"Chính 50 MP & Phụ 2 MP, 0.3 MP",8 MP,Unisoc T616 8 nhân,4 GB,64 GB,2 Nano SIM,5000 mAh,18 W,4.290.000₫ ,3.3,129,https://www.thegioididong.com/dtdd/realme-c35?src=osp,Thế giới di động
Điện thoại Xiaomi 11T 5G 128GB,Xiaomi,"AMOLED,6.67"",Full HD+",Android 11,"Chính 108 MP & Phụ 8 MP, 5 MP",16 MP,MediaTek Dimensity 1200,8 GB,128 GB,2 Nano SIM,5000 mAh,67 W,10.990.000₫ ,3.8,335,https://www.thegioididong.com/dtdd/xiaomi-11t?src=osp,Thế giới di động
Điện thoại Samsung Galaxy A03 3GB,Samsung,"PLS LCD,6.5"",HD+",Android 11,Chính 48 MP & Phụ 2 MP,5 MP,Unisoc T606 8 nhân,3 GB,32 GB,2 Nano SIM,5000 mAh,7.75 W,2.990.000₫ ,3.8,90,https://www.thegioididong.com/dtdd/samsung-galaxy-a03?src=osp,Thế giới di động
Điện thoại Xiaomi Redmi Note 11 Pro,Xiaomi,"AMOLED,6.67"",Full HD+",Android 11,"Chính 108 MP & Phụ 8 MP, 2 MP, 2 MP",16 MP,MediaTek Helio G96 8 nhân,8 GB,128 GB,2 Nano SIM (SIM 2 chung khe thẻ nhớ),5000 mAh,67 W,7.490.000₫ ,3.3,185,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-11-pro-4g?src=osp,Thế giới di động
Điện thoại Xiaomi Redmi Note 11S 5G,Xiaomi,"IPS LCD,6.6"",Full HD+",Android 11,"Chính 50 MP & Phụ 8 MP, 2 MP",13 MP,MediaTek Dimensity 810 5G 8 nhân,6 GB,128 GB,2 Nano SIM (SIM 2 chung khe thẻ nhớ),5000 mAh,33 W,6.490.000₫ ,4,12,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-11s-5g?src=osp,Thế giới di động
